epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.211,2.37873,5.46223,2.23547,0.41788,0.21203,0.20032,0.10502,1.57722,1.25384,1.5346,0.000256048,0.000256048,0.000256048
2,565.418,1.62025,1.30535,1.46551,0.45616,0.26324,0.23981,0.12504,1.47004,1.13524,1.42245,0.000496529,0.000496529,0.000496529
3,818.932,1.52933,1.19037,1.39226,0.46718,0.2965,0.25347,0.13133,1.43728,1.07179,1.3872,0.00072115,0.00072115,0.00072115
4,1067.46,1.48055,1.13791,1.36157,0.57041,0.28103,0.29082,0.15242,1.37826,1.01888,1.35406,0.000697627,0.000697627,0.000697627
5,1318.35,1.43979,1.08279,1.32805,0.7631,0.31327,0.31184,0.16219,1.36685,0.9732,1.33614,0.000673836,0.000673836,0.000673836
6,1568.43,1.40762,1.03986,1.30649,0.44463,0.33422,0.33158,0.17356,1.33352,0.94786,1.31875,0.000650045,0.000650045,0.000650045
7,1813.71,1.39424,1.01928,1.29365,0.66136,0.36578,0.34026,0.18295,1.32862,0.95069,1.30817,0.000626254,0.000626254,0.000626254
8,2063.4,1.37136,0.99442,1.27844,0.79492,0.3362,0.38861,0.20646,1.32662,0.97253,1.30661,0.000602463,0.000602463,0.000602463
9,2309.28,1.35775,0.97688,1.27152,0.67599,0.40356,0.40407,0.21518,1.31668,0.94797,1.29201,0.000578672,0.000578672,0.000578672
10,2545.38,1.34818,0.9562,1.26088,0.67094,0.37741,0.39729,0.22081,1.3195,0.89974,1.29367,0.000554882,0.000554882,0.000554882
11,2781.6,1.33368,0.9441,1.25227,0.56006,0.49162,0.41236,0.2276,1.2954,0.92827,1.28147,0.000531091,0.000531091,0.000531091
12,3024.95,1.33183,0.93133,1.24962,0.69356,0.4123,0.42221,0.23927,1.29399,0.89013,1.27843,0.0005073,0.0005073,0.0005073
13,3270.36,1.3211,0.91523,1.24226,0.71147,0.40297,0.42661,0.24265,1.28738,0.895,1.27272,0.000483509,0.000483509,0.000483509
14,3522.73,1.31734,0.91212,1.23963,0.47987,0.52616,0.43952,0.245,1.28637,0.88792,1.27274,0.000459718,0.000459718,0.000459718
15,3757.46,1.30515,0.89681,1.22944,0.79395,0.377,0.42607,0.23927,1.27221,0.8986,1.26322,0.000435927,0.000435927,0.000435927
16,4326.46,1.29883,0.8852,1.22686,0.73278,0.40996,0.41725,0.23142,1.28069,0.8689,1.26894,0.000412136,0.000412136,0.000412136
17,4701.85,1.28473,0.874,1.22127,0.67206,0.41941,0.41928,0.22668,1.29137,0.95664,1.26999,0.000388345,0.000388345,0.000388345
18,4939.92,1.2855,0.86373,1.21863,0.52831,0.4871,0.44654,0.25476,1.2727,1.11764,1.25799,0.000364554,0.000364554,0.000364554
19,5172.99,1.27626,0.85785,1.21302,0.58234,0.50128,0.44138,0.24677,1.27199,1.22085,1.26433,0.000340763,0.000340763,0.000340763
20,5402.35,1.27406,0.85047,1.20933,0.50295,0.53895,0.45775,0.25197,1.26941,1.02395,1.26505,0.000316972,0.000316972,0.000316972
21,5634.67,1.26711,0.83957,1.20707,0.51225,0.52201,0.44935,0.24918,1.2643,0.93258,1.25767,0.000293181,0.000293181,0.000293181
22,5858.17,1.2646,0.83627,1.20627,0.62678,0.4796,0.46245,0.26203,1.26349,0.86462,1.25657,0.00026939,0.00026939,0.00026939
23,6116.69,1.23493,0.78954,1.25329,0.55448,0.49411,0.4453,0.25083,1.25945,0.84639,1.25279,0.000245599,0.000245599,0.000245599
24,6335.53,1.22167,0.77236,1.24148,0.61768,0.47186,0.47011,0.26647,1.25516,0.84024,1.25216,0.000221808,0.000221808,0.000221808
25,6557.95,1.21737,0.76463,1.24408,0.494,0.53591,0.455,0.25622,1.25755,0.82651,1.25416,0.000198018,0.000198018,0.000198018
26,6785.16,1.211,0.75575,1.23846,0.51288,0.49515,0.4742,0.27178,1.257,0.8161,1.25321,0.000174227,0.000174227,0.000174227
27,7022.47,1.20213,0.74486,1.23232,0.67368,0.44096,0.4493,0.25375,1.25998,0.84462,1.25323,0.000150436,0.000150436,0.000150436
28,7252.1,1.19448,0.73502,1.22872,0.62495,0.49531,0.47605,0.27159,1.25543,0.85293,1.25167,0.000126645,0.000126645,0.000126645
29,7483.53,1.18863,0.72675,1.22186,0.55835,0.44077,0.44712,0.24925,1.25722,0.83009,1.25453,0.000102854,0.000102854,0.000102854
30,7704.05,1.18057,0.71776,1.22198,0.54494,0.51963,0.45889,0.25839,1.2552,0.83764,1.2531,7.90628e-05,7.90628e-05,7.90628e-05
31,7926.65,1.17804,0.71339,1.21597,0.55317,0.50504,0.45221,0.255,1.25504,0.83458,1.25219,5.52719e-05,5.52719e-05,5.52719e-05
32,8145.24,1.16701,0.70649,1.21419,0.55431,0.50717,0.4523,0.25552,1.25253,0.83588,1.25087,3.14809e-05,3.14809e-05,3.14809e-05
