epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.666,1.88336,5.90668,1.45941,0.59842,0.25733,0.28113,0.15647,1.40533,1.10755,1.16891,0.000256048,0.000256048,0.000256048
2,537.446,1.44008,1.18974,1.16891,0.61904,0.27375,0.30504,0.17614,1.34704,0.97929,1.1332,0.000496529,0.000496529,0.000496529
3,802.607,1.38762,1.08517,1.14129,0.52473,0.31158,0.31745,0.18511,1.32562,0.92779,1.1294,0.00072115,0.00072115,0.00072115
4,1062.5,1.36624,1.03513,1.13627,0.75586,0.29917,0.34342,0.19737,1.30214,0.87815,1.11758,0.000697627,0.000697627,0.000697627
5,1304.45,1.34076,0.99071,1.12024,0.75644,0.30269,0.39709,0.22448,1.29187,0.85601,1.10826,0.000673836,0.000673836,0.000673836
6,1549.33,1.31897,0.95376,1.10791,0.55117,0.37054,0.40995,0.23676,1.27729,0.82925,1.10257,0.000650045,0.000650045,0.000650045
7,1796.7,1.30804,0.93273,1.10098,0.65447,0.36121,0.38629,0.22921,1.27469,0.82053,1.09829,0.000626254,0.000626254,0.000626254
8,2064.29,1.29749,0.91006,1.09539,0.70948,0.40424,0.39398,0.23147,1.26172,0.80139,1.09262,0.000602463,0.000602463,0.000602463
9,2316.09,1.28191,0.89228,1.09046,0.52463,0.41261,0.39491,0.2359,1.25448,0.80331,1.09035,0.000578672,0.000578672,0.000578672
10,2569.09,1.2778,0.87906,1.08319,0.71301,0.40189,0.40345,0.24371,1.24857,0.77514,1.08044,0.000554882,0.000554882,0.000554882
11,2815.73,1.2605,0.8634,1.07739,0.65094,0.44111,0.42326,0.25067,1.24581,0.77927,1.08419,0.000531091,0.000531091,0.000531091
12,3070.93,1.26274,0.85528,1.07668,0.54193,0.42293,0.4313,0.25542,1.23668,0.76301,1.07349,0.0005073,0.0005073,0.0005073
13,3322.34,1.25487,0.8381,1.07163,0.60272,0.40203,0.41345,0.25083,1.24044,0.75645,1.07626,0.000483509,0.000483509,0.000483509
14,3567.79,1.25383,0.83533,1.07243,0.56078,0.43944,0.43273,0.2608,1.23988,0.74167,1.07573,0.000459718,0.000459718,0.000459718
15,3812.06,1.24276,0.82901,1.06744,0.57165,0.44112,0.4335,0.26054,1.23766,0.74319,1.07524,0.000435927,0.000435927,0.000435927
16,4059.67,1.23918,0.81871,1.06457,0.63443,0.41515,0.44482,0.27181,1.23624,0.73321,1.07499,0.000412136,0.000412136,0.000412136
17,4303.33,1.22686,0.80905,1.06126,0.49921,0.47188,0.44951,0.27379,1.22898,0.73311,1.07336,0.000388345,0.000388345,0.000388345
18,4547.47,1.22867,0.7958,1.05979,0.53805,0.43222,0.42927,0.26496,1.23385,0.72033,1.07295,0.000364554,0.000364554,0.000364554
19,4790.97,1.22223,0.79509,1.05736,0.56307,0.47319,0.45164,0.27285,1.22405,0.71501,1.06774,0.000340763,0.000340763,0.000340763
20,5032.35,1.21869,0.78824,1.05437,0.61452,0.45416,0.47419,0.28927,1.22441,0.70893,1.06773,0.000316972,0.000316972,0.000316972
21,5273.41,1.21303,0.78101,1.05232,0.61454,0.44759,0.4782,0.29193,1.22298,0.7094,1.06783,0.000293181,0.000293181,0.000293181
22,5495.61,1.20942,0.77776,1.05026,0.54196,0.50407,0.47962,0.29412,1.21685,0.70637,1.06398,0.00026939,0.00026939,0.00026939
23,5752.61,1.18039,0.70752,1.05414,0.60568,0.45195,0.4525,0.2773,1.22068,0.69979,1.06595,0.000245599,0.000245599,0.000245599
24,5993.61,1.16803,0.69292,1.04693,0.56419,0.48482,0.45011,0.27717,1.21854,0.70003,1.06248,0.000221808,0.000221808,0.000221808
25,6226.96,1.16467,0.68417,1.04713,0.60471,0.46422,0.46492,0.289,1.22085,0.69383,1.06314,0.000198018,0.000198018,0.000198018
26,6458.89,1.15809,0.67801,1.04276,0.57012,0.48843,0.46336,0.28732,1.21957,0.69059,1.0611,0.000174227,0.000174227,0.000174227
27,6698.6,1.1533,0.66744,1.03923,0.62725,0.46482,0.46275,0.28886,1.21938,0.68608,1.06019,0.000150436,0.000150436,0.000150436
28,6940.61,1.14408,0.66247,1.03468,0.60578,0.45396,0.45979,0.28892,1.21955,0.68507,1.06084,0.000126645,0.000126645,0.000126645
29,7178.08,1.13809,0.65285,1.03284,0.60925,0.45563,0.47787,0.30167,1.22188,0.68505,1.06247,0.000102854,0.000102854,0.000102854
30,7414.17,1.13195,0.64876,1.03156,0.62248,0.46202,0.46378,0.28691,1.22224,0.68303,1.06285,7.90628e-05,7.90628e-05,7.90628e-05
31,7658.1,1.13072,0.64058,1.02893,0.61276,0.46589,0.46854,0.29027,1.22159,0.68049,1.06282,5.52719e-05,5.52719e-05,5.52719e-05
32,7897.3,1.12069,0.63377,1.02704,0.60598,0.47235,0.46526,0.29042,1.21914,0.68005,1.06177,3.14809e-05,3.14809e-05,3.14809e-05
