epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13051.8,1.15497,0.64868,1.17414,0.6706,0.5117,0.51435,0.31762,1.20166,0.58752,1.24517,0.005842,0.005842,0.005842
44,13357.4,1.14491,0.6418,1.16994,0.69414,0.49351,0.54209,0.33626,1.20309,0.58651,1.2468,0.005743,0.005743,0.005743
45,13674.5,1.14522,0.63878,1.16955,0.64166,0.50707,0.51399,0.31566,1.2022,0.58749,1.24538,0.005644,0.005644,0.005644
46,13985.8,1.13935,0.63582,1.16639,0.63482,0.50828,0.50574,0.30899,1.20273,0.58326,1.24718,0.005545,0.005545,0.005545
47,14292.9,1.13414,0.63054,1.16281,0.65441,0.49868,0.50815,0.31007,1.20205,0.58208,1.24739,0.005446,0.005446,0.005446
48,14612.4,1.1375,0.62809,1.16797,0.68569,0.50922,0.51663,0.31462,1.20089,0.57797,1.24759,0.005347,0.005347,0.005347
49,14920.1,1.12783,0.62304,1.16067,0.67708,0.49705,0.51958,0.32036,1.19995,0.57754,1.24638,0.005248,0.005248,0.005248
50,15225.9,1.13243,0.61906,1.15902,0.66628,0.50674,0.52121,0.31876,1.20383,0.57792,1.24904,0.005149,0.005149,0.005149
51,15543.6,1.1229,0.61956,1.15752,0.69024,0.49111,0.51743,0.31549,1.20472,0.57834,1.25067,0.00505,0.00505,0.00505
52,15851.7,1.12098,0.61653,1.15596,0.68096,0.50257,0.52041,0.3218,1.20635,0.57737,1.25258,0.004951,0.004951,0.004951
53,16158.8,1.11851,0.61096,1.15597,0.67545,0.4978,0.52268,0.32129,1.20627,0.57718,1.25248,0.004852,0.004852,0.004852
54,16478.9,1.1152,0.61023,1.1542,0.6393,0.52035,0.52222,0.32271,1.20651,0.57777,1.25271,0.004753,0.004753,0.004753
55,16786.4,1.10747,0.60547,1.14765,0.67025,0.50132,0.51967,0.31945,1.20723,0.57766,1.25288,0.004654,0.004654,0.004654
56,17105,1.10417,0.6022,1.14612,0.6645,0.5013,0.51847,0.32019,1.20679,0.57648,1.25299,0.004555,0.004555,0.004555
57,17414.4,1.10897,0.60027,1.14735,0.66853,0.50235,0.51592,0.31918,1.20656,0.57639,1.25363,0.004456,0.004456,0.004456
58,17722.6,1.09991,0.59585,1.14328,0.67085,0.5019,0.51265,0.31641,1.20689,0.57554,1.25463,0.004357,0.004357,0.004357
59,18035.5,1.094,0.59106,1.14003,0.66515,0.50237,0.51,0.31481,1.20824,0.57545,1.25581,0.004258,0.004258,0.004258
60,18354.4,1.09047,0.58978,1.13858,0.65632,0.50536,0.51067,0.31599,1.20818,0.57387,1.25653,0.004159,0.004159,0.004159
61,18657.6,1.08475,0.58347,1.13573,0.66732,0.5042,0.51129,0.31714,1.20829,0.57292,1.25721,0.00406,0.00406,0.00406
62,18965.3,1.08516,0.58446,1.13585,0.67613,0.50463,0.51183,0.31749,1.20908,0.57281,1.25855,0.003961,0.003961,0.003961
63,19271.6,1.07881,0.58016,1.13493,0.66305,0.50869,0.51317,0.3193,1.20955,0.57243,1.25942,0.003862,0.003862,0.003862
64,19574.5,1.07509,0.57374,1.13067,0.67108,0.51065,0.5132,0.31859,1.21012,0.57245,1.26008,0.003763,0.003763,0.003763
65,19882.3,1.07359,0.57203,1.13163,0.66872,0.5079,0.51316,0.31748,1.21065,0.57183,1.26104,0.003664,0.003664,0.003664
66,20190.7,1.06686,0.56573,1.12673,0.68122,0.50493,0.51054,0.3158,1.21159,0.57161,1.26276,0.003565,0.003565,0.003565
67,20497.1,1.06748,0.56701,1.12614,0.68206,0.50447,0.51219,0.31492,1.21192,0.5709,1.26331,0.003466,0.003466,0.003466
68,20806.2,1.06523,0.56659,1.12494,0.68504,0.50128,0.51271,0.31641,1.21255,0.57009,1.26394,0.003367,0.003367,0.003367
69,21114.5,1.06307,0.56286,1.12347,0.68187,0.50318,0.51319,0.3161,1.2129,0.56942,1.26436,0.003268,0.003268,0.003268
70,21418.7,1.05162,0.55773,1.12077,0.68093,0.50064,0.51423,0.3175,1.21353,0.56866,1.26551,0.003169,0.003169,0.003169
71,21729.8,1.05467,0.55869,1.12141,0.67416,0.50602,0.51802,0.31956,1.21386,0.56809,1.26601,0.00307,0.00307,0.00307
72,22036.3,1.04196,0.55055,1.11364,0.65618,0.51371,0.51702,0.31942,1.2147,0.56799,1.2673,0.002971,0.002971,0.002971
73,22339,1.03898,0.54658,1.10986,0.64829,0.5203,0.5175,0.32003,1.21508,0.56753,1.26837,0.002872,0.002872,0.002872
74,22647.8,1.03815,0.54587,1.10848,0.65137,0.52001,0.51758,0.31989,1.2153,0.56722,1.26875,0.002773,0.002773,0.002773
75,22954.5,1.03475,0.54015,1.10891,0.65627,0.51792,0.51429,0.31741,1.21556,0.56646,1.26955,0.002674,0.002674,0.002674
76,23257.3,1.02964,0.5384,1.10645,0.66007,0.51788,0.5134,0.31739,1.21634,0.56583,1.27051,0.002575,0.002575,0.002575
77,23558.9,1.02349,0.53367,1.10182,0.65828,0.52015,0.51337,0.31669,1.21712,0.56603,1.27165,0.002476,0.002476,0.002476
78,23862,1.02341,0.52994,1.10281,0.65851,0.51942,0.5127,0.31626,1.21785,0.56576,1.27257,0.002377,0.002377,0.002377
79,24165.5,1.01517,0.52879,1.10022,0.65846,0.51823,0.51245,0.31629,1.21823,0.56582,1.27334,0.002278,0.002278,0.002278
80,24476.3,1.01411,0.52642,1.10041,0.66022,0.5168,0.51257,0.31613,1.21885,0.56529,1.27429,0.002179,0.002179,0.002179
81,24785.8,1.00952,0.52301,1.0977,0.65751,0.51831,0.5123,0.31617,1.21949,0.56529,1.27535,0.00208,0.00208,0.00208
82,25087.7,1.00561,0.51805,1.09525,0.65058,0.52072,0.51314,0.31566,1.22025,0.56567,1.27641,0.001981,0.001981,0.001981
83,25391,0.99979,0.51474,1.09084,0.64847,0.52116,0.51281,0.31756,1.22082,0.56563,1.27717,0.001882,0.001882,0.001882
84,25693.7,0.99588,0.51056,1.08877,0.64776,0.52071,0.51626,0.32014,1.22127,0.56551,1.27812,0.001783,0.001783,0.001783
85,25998.3,0.99089,0.50827,1.08761,0.64676,0.52003,0.51619,0.3199,1.2219,0.56555,1.27906,0.001684,0.001684,0.001684
86,26308.5,0.98709,0.50661,1.08278,0.64674,0.51949,0.51686,0.32022,1.22258,0.56557,1.28009,0.001585,0.001585,0.001585
87,26616,0.98358,0.50344,1.08261,0.65224,0.52141,0.51653,0.32018,1.22296,0.56565,1.28076,0.001486,0.001486,0.001486
88,26917.1,0.97583,0.50078,1.07968,0.64784,0.52045,0.51628,0.31999,1.22283,0.56568,1.28089,0.001387,0.001387,0.001387
89,27231.4,0.97614,0.49824,1.07589,0.64733,0.52158,0.51558,0.31924,1.22333,0.56563,1.28176,0.001288,0.001288,0.001288
90,27538.7,0.97069,0.4939,1.07284,0.64671,0.52107,0.51531,0.31926,1.22376,0.56559,1.28256,0.001189,0.001189,0.001189
91,27878.7,0.94071,0.43741,1.09586,0.64671,0.52139,0.51543,0.31958,1.22429,0.56559,1.28333,0.00109,0.00109,0.00109
92,28190.7,0.92095,0.42732,1.08559,0.64426,0.52176,0.51529,0.31916,1.22463,0.56574,1.2839,0.000991,0.000991,0.000991
93,28498.4,0.9136,0.42153,1.08288,0.64184,0.52271,0.5147,0.31896,1.22527,0.56581,1.28499,0.000892,0.000892,0.000892
94,28804.5,0.90585,0.41721,1.07479,0.64359,0.52116,0.51474,0.31899,1.22587,0.56573,1.28617,0.000793,0.000793,0.000793
95,29122.8,0.89836,0.4141,1.07036,0.64334,0.52618,0.51332,0.31855,1.2265,0.56594,1.28729,0.000694,0.000694,0.000694
96,29437.9,0.89156,0.40894,1.07126,0.64678,0.52346,0.51345,0.31852,1.22695,0.56614,1.28823,0.000595,0.000595,0.000595
97,29744.9,0.88492,0.40619,1.06417,0.648,0.5198,0.51314,0.31897,1.2279,0.56598,1.28978,0.000496,0.000496,0.000496
98,30055.6,0.88145,0.403,1.05952,0.64884,0.51733,0.5128,0.31847,1.22833,0.56618,1.29084,0.000397,0.000397,0.000397
99,30362.9,0.8734,0.40268,1.05829,0.64982,0.5192,0.51297,0.31869,1.22892,0.56634,1.29195,0.000298,0.000298,0.000298
100,30669.6,0.87005,0.39788,1.05453,0.65139,0.52008,0.51303,0.31864,1.22943,0.56663,1.29308,0.000199,0.000199,0.000199
