epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3105.63,2.39655,5.46811,2.25453,0.43775,0.20591,0.19898,0.10093,1.63389,1.2942,1.57333,0.000256048,0.000256048,0.000256048
2,3366.8,1.62537,1.31333,1.46929,0.43952,0.27202,0.24336,0.12241,1.47484,1.1227,1.4226,0.000496529,0.000496529,0.000496529
3,3635.42,1.52776,1.18868,1.3917,0.43662,0.30774,0.24962,0.13294,1.4204,1.05124,1.37597,0.00072115,0.00072115,0.00072115
4,3890.47,1.48135,1.13384,1.36373,0.61122,0.25609,0.28737,0.14715,1.39187,1.04652,1.36751,0.000697627,0.000697627,0.000697627
5,4154.7,1.44048,1.08117,1.32947,0.65289,0.30716,0.3179,0.16339,1.36848,0.95063,1.33395,0.000673836,0.000673836,0.000673836
6,4420.94,1.40928,1.03949,1.30942,0.54942,0.32381,0.33366,0.17071,1.34522,0.94923,1.32431,0.000650045,0.000650045,0.000650045
7,4688.18,1.39387,1.0175,1.29561,0.68909,0.33423,0.35377,0.18532,1.33407,0.92103,1.31661,0.000626254,0.000626254,0.000626254
8,4930.18,1.3767,0.99245,1.28239,0.79779,0.32721,0.37958,0.19979,1.31726,0.92247,1.29984,0.000602463,0.000602463,0.000602463
9,5177.07,1.35684,0.97448,1.27348,0.66911,0.38028,0.40138,0.22171,1.31496,0.8989,1.29506,0.000578672,0.000578672,0.000578672
10,5426.01,1.34812,0.95626,1.26363,0.79402,0.36571,0.35882,0.193,1.31477,0.89638,1.29344,0.000554882,0.000554882,0.000554882
11,5676.7,1.33386,0.93882,1.25439,0.57309,0.49348,0.40281,0.2192,1.28974,0.89176,1.28323,0.000531091,0.000531091,0.000531091
12,5928.6,1.32827,0.92825,1.25042,0.72197,0.42754,0.43535,0.23188,1.2999,0.87239,1.28015,0.0005073,0.0005073,0.0005073
13,6204.6,1.32,0.91331,1.2431,0.69259,0.4049,0.40049,0.22162,1.29089,0.87259,1.27621,0.000483509,0.000483509,0.000483509
14,6450.7,1.31813,0.91185,1.2424,0.77106,0.41972,0.43531,0.24454,1.28265,0.84859,1.27272,0.000459718,0.000459718,0.000459718
15,6702.91,1.30291,0.89589,1.23093,0.56913,0.43696,0.41692,0.23119,1.27413,0.82731,1.26928,0.000435927,0.000435927,0.000435927
16,7021.81,1.30178,0.88564,1.23112,0.47571,0.51745,0.44113,0.24604,1.28662,0.83021,1.273,0.000412136,0.000412136,0.000412136
17,7301.63,1.28559,0.875,1.22402,0.51385,0.55645,0.44979,0.24569,1.28744,0.83853,1.27155,0.000388345,0.000388345,0.000388345
18,7593.52,1.28637,0.86329,1.21985,0.63275,0.45585,0.45483,0.25444,1.27699,0.81539,1.26226,0.000364554,0.000364554,0.000364554
19,7859.52,1.27826,0.85983,1.21592,0.55159,0.45921,0.44653,0.24795,1.27627,0.82823,1.26384,0.000340763,0.000340763,0.000340763
20,8114.88,1.27455,0.85187,1.21103,0.62777,0.42488,0.46308,0.25956,1.26563,0.80678,1.25939,0.000316972,0.000316972,0.000316972
21,8363.64,1.26779,0.84031,1.20947,0.56573,0.45783,0.4608,0.25831,1.26681,0.80677,1.2591,0.000293181,0.000293181,0.000293181
22,8615.13,1.26332,0.83479,1.20717,0.58697,0.43653,0.45826,0.26894,1.26728,0.78786,1.25985,0.00026939,0.00026939,0.00026939
23,8898.76,1.23762,0.78935,1.25409,0.57161,0.47718,0.46764,0.26458,1.25996,0.79588,1.25423,0.000245599,0.000245599,0.000245599
24,9138.59,1.22369,0.77456,1.24247,0.62064,0.46822,0.45975,0.26284,1.25986,0.79039,1.25505,0.000221808,0.000221808,0.000221808
25,9381.69,1.21838,0.76447,1.24547,0.58181,0.47898,0.47544,0.27119,1.25976,0.77149,1.25439,0.000198018,0.000198018,0.000198018
26,9638.79,1.21211,0.75456,1.23864,0.61675,0.46711,0.47441,0.2705,1.26263,0.76329,1.25812,0.000174227,0.000174227,0.000174227
27,9893.04,1.2052,0.7401,1.2324,0.6166,0.47331,0.47247,0.27362,1.25965,0.77645,1.25366,0.000150436,0.000150436,0.000150436
28,10139.7,1.19314,0.73433,1.22765,0.58849,0.47366,0.47412,0.27383,1.2587,0.77555,1.25311,0.000126645,0.000126645,0.000126645
29,10407.2,1.19152,0.72587,1.22352,0.59386,0.46338,0.47429,0.2718,1.2574,0.76261,1.25432,0.000102854,0.000102854,0.000102854
30,10656.9,1.18314,0.71735,1.22297,0.475,0.47309,0.4831,0.27646,1.25949,0.76511,1.25517,7.90628e-05,7.90628e-05,7.90628e-05
31,10916.6,1.17831,0.71103,1.2163,0.5909,0.46302,0.48433,0.27943,1.25957,0.76415,1.2557,5.52719e-05,5.52719e-05,5.52719e-05
32,11198.1,1.16663,0.70308,1.21289,0.60616,0.45669,0.48451,0.28,1.25746,0.76386,1.25401,3.14809e-05,3.14809e-05,3.14809e-05
