epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.382,2.41797,5.76125,2.29563,0.6595,0.19275,0.19544,0.10113,1.59594,1.26648,1.53821,0.000256048,0.000256048,0.000256048
2,487.11,1.62265,1.31592,1.46689,0.63785,0.18964,0.23341,0.11759,1.5218,1.19067,1.4424,0.000496529,0.000496529,0.000496529
3,713.084,1.53047,1.19886,1.3914,0.46092,0.27839,0.24101,0.12825,1.40779,1.07427,1.37447,0.00072115,0.00072115,0.00072115
4,941.948,1.47923,1.13876,1.36019,0.68492,0.26238,0.2766,0.14717,1.36735,1.02905,1.34684,0.000697627,0.000697627,0.000697627
5,1185.68,1.44202,1.08625,1.32952,0.62969,0.31548,0.29288,0.1536,1.36567,0.97224,1.33495,0.000673836,0.000673836,0.000673836
6,1415.42,1.41076,1.0485,1.30931,0.62702,0.34369,0.30472,0.15989,1.33901,0.97343,1.3218,0.000650045,0.000650045,0.000650045
7,1643.11,1.3957,1.02603,1.29699,0.67072,0.34241,0.33252,0.17565,1.32413,0.95349,1.31013,0.000626254,0.000626254,0.000626254
8,1873.04,1.37746,0.99877,1.28199,0.65591,0.33848,0.33356,0.17651,1.32204,0.95594,1.30246,0.000602463,0.000602463,0.000602463
9,2126.61,1.35954,0.97985,1.27432,0.67114,0.37874,0.35734,0.1879,1.31364,0.91824,1.2955,0.000578672,0.000578672,0.000578672
10,2356.43,1.35187,0.9639,1.26475,0.70467,0.37844,0.36218,0.19619,1.30822,0.89872,1.28961,0.000554882,0.000554882,0.000554882
11,2587.08,1.33332,0.94874,1.25384,0.69647,0.41293,0.36679,0.19781,1.28748,0.93513,1.27939,0.000531091,0.000531091,0.000531091
12,2830.45,1.33082,0.93765,1.25147,0.5875,0.40765,0.38206,0.2066,1.29894,0.8816,1.27977,0.0005073,0.0005073,0.0005073
13,3092.08,1.32247,0.92316,1.244,0.57332,0.40873,0.38968,0.2131,1.28277,0.89633,1.27109,0.000483509,0.000483509,0.000483509
14,3331.11,1.32209,0.91735,1.24433,0.48424,0.53043,0.4337,0.23955,1.29257,0.91837,1.2765,0.000459718,0.000459718,0.000459718
15,3570.38,1.30793,0.90733,1.2348,0.56878,0.46331,0.42595,0.23852,1.27134,0.88915,1.26756,0.000435927,0.000435927,0.000435927
16,3813.27,1.30407,0.89477,1.23153,0.37422,0.53603,0.44128,0.24834,1.28227,0.85165,1.2703,0.000412136,0.000412136,0.000412136
17,4057.81,1.28804,0.88788,1.22523,0.74,0.41082,0.44303,0.24922,1.28162,0.87135,1.26643,0.000388345,0.000388345,0.000388345
18,4295.11,1.29031,0.87381,1.22241,0.60986,0.45032,0.44599,0.25456,1.2745,0.86103,1.26056,0.000364554,0.000364554,0.000364554
19,4532.63,1.28222,0.87449,1.21705,0.54381,0.47691,0.45805,0.25791,1.27103,0.8851,1.26088,0.000340763,0.000340763,0.000340763
20,4776.42,1.28018,0.86771,1.21301,0.59832,0.45875,0.45377,0.24599,1.26228,0.84381,1.25644,0.000316972,0.000316972,0.000316972
21,5012.68,1.27502,0.85737,1.21258,0.57118,0.47238,0.4643,0.25859,1.26143,0.87661,1.25258,0.000293181,0.000293181,0.000293181
22,5248.89,1.26977,0.85194,1.20898,0.55826,0.4741,0.46167,0.26562,1.25784,0.82973,1.24974,0.00026939,0.00026939,0.00026939
23,5507.03,1.24134,0.80691,1.25593,0.59828,0.47149,0.47446,0.26655,1.25646,0.83051,1.24977,0.000245599,0.000245599,0.000245599
24,5743.23,1.23284,0.79242,1.24631,0.5528,0.50316,0.46777,0.26001,1.25944,0.82725,1.24736,0.000221808,0.000221808,0.000221808
25,5986.29,1.2269,0.78401,1.24792,0.61158,0.45132,0.47549,0.26906,1.25603,0.845,1.24292,0.000198018,0.000198018,0.000198018
26,6218.69,1.22295,0.77758,1.24032,0.62273,0.44832,0.46707,0.26627,1.25812,0.84084,1.24182,0.000174227,0.000174227,0.000174227
27,6453.46,1.21783,0.76566,1.23462,0.59773,0.47122,0.47579,0.26308,1.25301,0.87159,1.23794,0.000150436,0.000150436,0.000150436
28,6693.28,1.2085,0.75712,1.22964,0.56645,0.48833,0.47731,0.26699,1.25514,0.88455,1.2381,0.000126645,0.000126645,0.000126645
29,6925.04,1.2043,0.74971,1.2228,0.60432,0.46055,0.47331,0.26229,1.25078,0.90178,1.23552,0.000102854,0.000102854,0.000102854
30,7156.55,1.19683,0.74462,1.22253,0.58343,0.47111,0.48126,0.27451,1.2507,0.82781,1.2352,7.90628e-05,7.90628e-05,7.90628e-05
31,7388.13,1.19213,0.73781,1.21514,0.57629,0.48806,0.48231,0.27218,1.25031,0.83489,1.23581,5.52719e-05,5.52719e-05,5.52719e-05
32,7619.79,1.18592,0.72912,1.21519,0.57115,0.49001,0.48384,0.27237,1.24823,0.83482,1.23337,3.14809e-05,3.14809e-05,3.14809e-05
