epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.533,2.40312,5.76397,2.28537,0.30645,0.20788,0.19109,0.10193,1.59769,1.32515,1.55128,0.000256048,0.000256048,0.000256048
2,589.095,1.62182,1.31886,1.46419,0.40896,0.22778,0.21421,0.1161,1.46757,1.27393,1.41949,0.000496529,0.000496529,0.000496529
3,869.213,1.52967,1.19702,1.39075,0.42913,0.30384,0.24355,0.12856,1.40575,1.1029,1.36676,0.00072115,0.00072115,0.00072115
4,1122.61,1.47882,1.14174,1.3598,0.71022,0.30082,0.26385,0.14065,1.39183,1.11577,1.35944,0.000697627,0.000697627,0.000697627
5,1380.15,1.44035,1.08648,1.32835,0.65877,0.3181,0.30667,0.161,1.35942,0.9636,1.33065,0.000673836,0.000673836,0.000673836
6,1632.58,1.40973,1.04892,1.30647,0.74989,0.30982,0.30696,0.16251,1.33811,0.95793,1.31938,0.000650045,0.000650045,0.000650045
7,1897.49,1.39322,1.02472,1.29286,0.77472,0.34656,0.32034,0.1724,1.33347,0.95808,1.31666,0.000626254,0.000626254,0.000626254
8,2139.26,1.37841,0.99914,1.28113,0.75163,0.33346,0.30688,0.16803,1.31935,1.28887,1.30131,0.000602463,0.000602463,0.000602463
9,2388.95,1.35665,0.98069,1.27094,0.67304,0.37486,0.35115,0.18705,1.30474,0.92873,1.2922,0.000578672,0.000578672,0.000578672
10,2644.72,1.34999,0.96215,1.26258,0.68456,0.36383,0.35655,0.19348,1.30977,0.90345,1.29175,0.000554882,0.000554882,0.000554882
11,2897.62,1.33452,0.94817,1.25324,0.72767,0.40392,0.38423,0.2052,1.30029,0.94553,1.2855,0.000531091,0.000531091,0.000531091
12,3123.75,1.33156,0.93738,1.25034,0.6936,0.41333,0.41787,0.23454,1.29836,0.90175,1.28218,0.0005073,0.0005073,0.0005073
13,3374.29,1.32326,0.92273,1.2428,0.70935,0.40733,0.39152,0.20925,1.29363,0.88,1.27681,0.000483509,0.000483509,0.000483509
14,3625.65,1.32131,0.92112,1.24205,0.5317,0.49972,0.43409,0.24491,1.28702,0.86881,1.27602,0.000459718,0.000459718,0.000459718
15,3884.43,1.30825,0.90709,1.23135,0.52543,0.47129,0.43437,0.24499,1.27358,0.84097,1.26668,0.000435927,0.000435927,0.000435927
16,4126.16,1.30432,0.89472,1.23002,0.47059,0.53542,0.43554,0.2419,1.28403,0.84165,1.27098,0.000412136,0.000412136,0.000412136
17,4368.52,1.28935,0.88335,1.22422,0.5301,0.50914,0.43858,0.24285,1.27925,0.85053,1.26564,0.000388345,0.000388345,0.000388345
18,4674.36,1.29068,0.87102,1.22026,0.55633,0.46001,0.45053,0.25108,1.27491,0.83008,1.25919,0.000364554,0.000364554,0.000364554
19,4901.41,1.28239,0.87053,1.21648,0.5555,0.47372,0.44024,0.24849,1.26957,0.8517,1.26049,0.000340763,0.000340763,0.000340763
20,5135.73,1.27838,0.86351,1.21126,0.5624,0.49409,0.46029,0.25624,1.2622,0.81238,1.25545,0.000316972,0.000316972,0.000316972
21,5383.06,1.27417,0.85344,1.21033,0.57596,0.46708,0.44298,0.24851,1.2626,0.83219,1.25412,0.000293181,0.000293181,0.000293181
22,5629.78,1.27188,0.85036,1.20927,0.64244,0.43284,0.47292,0.26809,1.25813,0.80044,1.25244,0.00026939,0.00026939,0.00026939
23,5883.65,1.24256,0.80399,1.25561,0.57329,0.48185,0.46728,0.26206,1.25944,0.80932,1.25244,0.000245599,0.000245599,0.000245599
24,6117.1,1.23365,0.79222,1.24739,0.65877,0.43628,0.46364,0.25261,1.25659,0.79112,1.25089,0.000221808,0.000221808,0.000221808
25,6362.07,1.22583,0.78082,1.2483,0.54989,0.52085,0.45262,0.25248,1.25281,0.78891,1.24861,0.000198018,0.000198018,0.000198018
26,6594.22,1.2194,0.77014,1.24157,0.58341,0.49723,0.45843,0.25491,1.25127,0.77023,1.24853,0.000174227,0.000174227,0.000174227
27,6831,1.2126,0.76115,1.23744,0.58122,0.48148,0.4553,0.25431,1.25014,0.77776,1.24588,0.000150436,0.000150436,0.000150436
28,7067.02,1.205,0.75301,1.23369,0.58166,0.48142,0.45097,0.25257,1.25273,0.78431,1.24825,0.000126645,0.000126645,0.000126645
29,7315.85,1.20124,0.74558,1.22693,0.6042,0.47848,0.458,0.2552,1.2523,0.76732,1.24749,0.000102854,0.000102854,0.000102854
30,7563.79,1.19436,0.7415,1.22921,0.60399,0.47403,0.46478,0.25784,1.25316,0.76957,1.2482,7.90628e-05,7.90628e-05,7.90628e-05
31,7805.92,1.18874,0.73063,1.2211,0.59908,0.49604,0.46151,0.25819,1.24988,0.77225,1.24596,5.52719e-05,5.52719e-05,5.52719e-05
32,8048.89,1.18049,0.72477,1.22028,0.58932,0.48438,0.46191,0.25939,1.24879,0.76627,1.24554,3.14809e-05,3.14809e-05,3.14809e-05
